epoch,loss,top-1,top-5
0,5.9274969696998596,0.45226130653266333,2.1608040201005023
1,1.8264951705932617,50.35175879396985,74.87437185929649
2,1.388370394706726,53.91959798994975,76.28140703517587
3,1.398224949836731,55.778894472361806,77.48743718592965
4,1.2465254068374634,56.08040201005025,77.78894472361809
5,0.886229395866394,56.231155778894475,78.19095477386935
6,0.9898967742919922,56.733668341708544,77.53768844221105
7,1.0417001247406006,56.63316582914573,78.14070351758794
8,0.9274969696998596,56.93467336683417,78.5929648241206
9,1.00530207157135,56.08040201005025,77.78894472361809
9,0.7415333986282349,56.231155778894475,76.53266331658291
10,0.6625199317932129,55.678391959798994,76.88442211055276
11,0.9266611933708191,54.97487437185929,76.73366834170854
12,0.5609238743782043,55.82914572864322,77.08542713567839
13,0.5666521787643433,55.92964824120603,77.03517587939699
14,0.5088502764701843,54.97487437185929,77.43718592964824
15,0.7525383234024048,55.678391959798994,77.1859296482412
16,0.4518236517906189,55.07537688442211,77.68844221105527
17,0.6159452795982361,55.42713567839196,76.4321608040201
18,0.41472938656806946,55.12562814070352,77.08542713567839
19,0.6755043864250183,54.17085427135678,76.13065326633166
